"louvain";"two mode";"id";"text"
"2";"row";"121";"Rubeus Hagrid"
"4";"column";"1210";"5e1ca3d2000470221c49b8a4_Kill-my-Memory"
"0";"column";"1211";"5e1ca40d0009e281217c6fe7_Kann-es-liebe-sein"
"6";"column";"1212";"5e1cc6a3000b939a1304e00b_Harrys-Zukunft"
"5";"column";"1213";"5e1cd0b700076ee238a94001_Unerwartete-Hilfe-von-unerwarteten-Leuten"
"3";"column";"1214";"5e1cd7480007d38f20acba42_Wenn-liebe-schmerzt"
"0";"column";"1215";"5e1cdc72000b93af38158a24_Auf-unterschiedlichen-Seiten"
"0";"column";"1216";"5e1cdd3d000ad68729b3113c_Einfach-leben--nicht-erlaubt"
"4";"column";"1217";"5e1cf78100001bee1f106041_Schuld--Suehne"
"1";"column";"1219";"5e1dfde0000b92ad33f5d030_Vier-Freunde"
"2";"column";"122";"52d3975a0002afd4b66baa1_A-giant-to-dream--Grawp"
"0";"column";"1220";"5e1e0d3a00084ce26b561f8-Entscheidungen--2-Wege"
"5";"column";"1221";"5e1e165c000a231616b10218_Phoenixgeboren"
"3";"column";"1222";"5e1e1c1c00077d79ffec84f_Verschieden-oder-doch-gleich-Moon"
"2";"column";"1223";"5e1e2a0700018251105017ad_Die-vier-Gruender"
"3";"column";"1224";"5e1e4b1f0005b02f23dc5c5f_Ein-Tag-in-Mahoutokoro"
"4";"column";"1225";"5e1ef957000b74a13440093a_Lehrer-am-meer"
"0";"column";"1226";"5e1f1662000810f81848361e_Nichts-als-die-Wahrheit"
"0";"column";"1227";"5e1f364e0008d7251ba4dff8_In-den-Schuhen-meines-Lehrers"
"1";"column";"1228";"5e1f4804000b7a7ada26a64_Neue-Wege"
"2";"column";"1229";"5e1f691d000b8497279aa2c0_The-life-of-a-lie"
"5";"row";"123";"Bellatrix Lestrange"
"4";"column";"1230";"5e2078a40008d72535ce2a42_In-den-Schuhen-meines-Lehrers-Epilog"
"3";"column";"1231";"5e209583000b35dd3ac4089f_Zwilling-fuer-einen-Zwilling-fuer-Alle"
"4";"column";"1232";"5e20c1a600043fd11dd854f0_Unerwuenschtes-Glueck"
"0";"column";"1234";"5e21e93500052f7739929390_Peaches"
"0";"column";"1235";"5e22061e0007d38f2bbc3589_Happy-after-Bet"
"5";"column";"1237";"5e2225b6000aedd911390a57_Looking-for-love"
"2";"column";"1238";"5e222635000b72a017065afc_Voegel-und-Monster"
"4";"column";"1239";"5e22406f0004e223d05465f_Der-Rabe-und-die-Kraehe"
"3";"column";"124";"52e8b0f5000355701f0a2273_three"
"1";"column";"1240";"5e233c630005386a18806781_TEMPEST-Marauders-TimeSirius-Black"
"1";"column";"1241";"5e23430a0005386a1e0e2f1d_SALVATION--SIRIUS-BLACK"
"0";"column";"1242";"5e2347b000064e6423cdf268_Harry-x-Draco--One-Million-Fireflys"
